2022-06-20 16:00:11 install linux-libc-dev:amd64 <none> 4.15.0-187.198
2022-06-20 16:00:11 status half-installed linux-libc-dev:amd64 4.15.0-187.198
2022-06-20 16:00:11 status unpacked linux-libc-dev:amd64 4.15.0-187.198
2022-06-20 16:00:11 status unpacked linux-libc-dev:amd64 4.15.0-187.198
2022-06-20 16:00:11 install libc6-dev:amd64 <none> 2.27-3ubuntu1.6
2022-06-20 16:00:11 status half-installed libc6-dev:amd64 2.27-3ubuntu1.6
2022-06-20 16:00:12 status unpacked libc6-dev:amd64 2.27-3ubuntu1.6
2022-06-20 16:00:12 status unpacked libc6-dev:amd64 2.27-3ubuntu1.6
2022-06-20 16:00:12 install gcc-7-base:amd64 <none> 7.5.0-3ubuntu1~18.04
2022-06-20 16:00:12 status half-installed gcc-7-base:amd64 7.5.0-3ubuntu1~18.04
2022-06-20 16:00:12 status unpacked gcc-7-base:amd64 7.5.0-3ubuntu1~18.04
2022-06-20 16:00:12 status unpacked gcc-7-base:amd64 7.5.0-3ubuntu1~18.04
2022-06-20 16:00:12 install libisl19:amd64 <none> 0.19-1
2022-06-20 16:00:12 status half-installed libisl19:amd64 0.19-1
2022-06-20 16:00:12 status unpacked libisl19:amd64 0.19-1
2022-06-20 16:00:12 status unpacked libisl19:amd64 0.19-1
2022-06-20 16:00:12 install libmpc3:amd64 <none> 1.1.0-1
2022-06-20 16:00:12 status half-installed libmpc3:amd64 1.1.0-1
2022-06-20 16:00:12 status unpacked libmpc3:amd64 1.1.0-1
2022-06-20 16:00:12 status unpacked libmpc3:amd64 1.1.0-1
2022-06-20 16:00:12 install cpp-7:amd64 <none> 7.5.0-3ubuntu1~18.04
2022-06-20 16:00:12 status half-installed cpp-7:amd64 7.5.0-3ubuntu1~18.04
